./alltext/1970.txt,タンゴ,ネコ,ひらく,ソラ,ニャーオ,
./alltext/1975.txt,モンスター,ほうら,どけ,魔球,Aegean,
./alltext/1980.txt,ダンシング・オールナイト,PURE,チュンチュン,スイスイ,ニャンニャン,
./alltext/1985.txt,CHA,Get,AH,dance,Like,
./alltext/1990.txt,YAH,ピーヒャラ,Heart,パッパパラパ,Miss,
./alltext/1995.txt,WowWar,tonight,Stay,(,LA,
./alltext/2000.txt,Da,Traveling,Lu,secret,keep,
./alltext/2005.txt,life,さくら,SI,take,セニョリータ,
./alltext/2010.txt,Na,!,Hey,sweet,Moving,
./alltext/3つの「ち」を意識する.txt,選挙,院,かけ算,日本人,美容,
./alltext/3分で解説：「7つの習慣」「GTD」「タスクシュート」に見る、代表的なタスク管理手法.txt,GTD,シュート,タスク,Done,フロー,
./alltext/6年前に比べて何が増えて、何が減った？　20代独身の食事事情.txt,ごはん,和食,週,朝食,おかず,
./alltext/Android版Google検索、探した商品がある店に近付くとGoogle Nowカードを表示.txt,Now,基い,近付く,カレンダーアプリ,Google,
./alltext/FIFAワールドカップ、日本代表はどこまで進む？.txt,ワールドカップ,敗退,優勝,ベスト,ザッケローニ,
./alltext/Foursquare、公式アプリからチェックイン機能を分離、「Swarm」に.txt,チェックイン,Foursquare,メッセンジャー,Swarm,ベニュー,
./alltext/Google Glassを航空機の整備に活用　JALとNRIが実証実験.txt,Glass,JAL,NRI,航空機,搭降,
./alltext/GoogleとIntel、Bay Trail搭載など多数の新Chrome端末を発表　販売地域拡大も.txt,G,Acer,Bay,Lenovo,Trail,
./alltext/Internet Explorer脆弱性の対策プログラムがダウンロード可能に――XPユーザーも対象.txt,ひとまず,2964358,KB,ADAiLaZwri,021,
./alltext/Microsoft、iPhone版OneNoteにノート作成機能を、Mac版には印刷機能を追加.txt,ノート,OneNote,OneDrive,Lens,Office,
./alltext/NASAの最新宇宙服「Z-2」のデザインが一般投票で決定.txt,プロトタイプ,意匠,宇宙,青白く,パッド,
./alltext/Surface mini、5月20日に発表か　Microsoftが招待状.txt,Surface,集会,small,Amazon,Qualcomm,
./alltext/TPP「実質的基本合意」していた　読売やTBS報道は誤りなのか.txt,合意,TPP,読売,離日,オバマ,
./alltext/Vine、デスクトップでも検索が可能に　日本語にも対応.txt,Vine,モバイルアプリ,コーナー,ン,左上,
./alltext/“Yes.”にひと工夫で、会話を楽しく.txt,Yes,?”（,right,that,cOPA,
./alltext/「IoT」時代に企業が準備すべきことは何か.txt,IoT,コト,池田,熟知,計測,
./alltext/「R2-D2」が投影するレイア姫……ではなくバーチャルキーボード登場.txt,モチーフ,接続,スター・ウォーズ,ラナ,バーチャル,
./alltext/「VAIO株式会社」発足へ　ソニー、PC事業売却で正式契約.txt,VAIO,JIP,ソニー,240,めど,
./alltext/「ふっくん」緊急会見で突如注目　「インベスターズTV」って何者だ？.txt,インベスターズ,布川,ヨーヨー,放送,タレント,
./alltext/「インターネット エクスプローラを使うな」ってどういうこと？　ワタシは今どうすべきか.txt,攻撃,脆弱,IE,CERT,US,
./alltext/「ニコニコ超会議3」に行ってきました.txt,ニコニコ,断っ,連載,窪田,セウォル,
./alltext/「ボクだよ。」.txt,him,This,JKTD,.”、,っぽく,
./alltext/「会議は中止です」.txt,cancel,meeting,中止,schedule,Let,
./alltext/「寿司、食いねぇ」.txt,寿司,should,sushi,すすめる,すすめよ,
./alltext/「死」の問題に対して.txt,死,重んずる,軽んずる,朽ちる,中央公論,
./alltext/「残念だったね」.txt,bad,フレーズ,なぐさめる,Too,too,
./alltext/「法人」もネットバンキング被害多発！　不正に預金引き出されても補償されない.txt,バンキング,手口,口座,巧妙,不正,
./alltext/「海外出張」「英文メール」「電話会議」などのスキルが身につく新プログラム――Bizmates.txt,教材,Bizmates,レッスン,Programs,受講,
./alltext/「秒速で1億円稼ぐ男」与沢翼、すってんてんに　「お金持ちのふり」するのに疲れたと告白.txt,与沢,納税,ショート,国税局,秒速,
./alltext/あなたをグローバル人材に変える、5つの「日本人プレミアム」とは？.txt,プレミアム,日本人,翻訳,善,グローバル,
./alltext/がちゃがちゃ.txt,ガチャ,スイッチョ,リーン,ガチャガチャ,鈴虫,
./alltext/きのこ会議.txt,茸,毒茸,椎茸,子孫,ケラ,
./alltext/すべてを前向きに捉える.txt,後天的,ポジティブ,東大,矢印,失敗,
./alltext/なぜニュースアプリを使うと「飽きる」のか――原因は“釣りタイトル”（たぶん）.txt,ニュースアプリ,土肥,グノシー,タイトル,飽き,
./alltext/みずほ新体制、カギ握る川村隆・元日立製作所会長  社外取締役は「お飾り」じゃない.txt,みずほ,佐藤,FG,大田,人事,
./alltext/もう時間潰しに迷わない　最短2分の経路を30分かけて遠回り「乗換案内norippa」.txt,経路,遠回り,就活,空き,丸ノ内線,
./alltext/アイルトン・セナ、フェンシング、Perfume――電通・菅野薫氏に聞く、「広告×データ」の可能性.txt,菅野,フェンシング,ホンダ,インターナビ,走行,
./alltext/アウトプットを意識すれば頭は良くなる.txt,インプット,アウトプット,脳,こども,生み出す,
./alltext/オツベルと象.txt,オツベル,象,グララアガア,把,稲,
./alltext/オリエント時計、STIへのスポンサードを継続　「ニュル24時間」「SUPER GT」参戦.txt,SUPER,参戦,ニュルブルクリンク,GT,車両,
./alltext/オリックスの宮内会長兼ＣＥＯ、株主総会後に退任.txt,ＣＥＯ,兼,宮内,退く,改革,
./alltext/ガチャ型課金の衰退タイミングは？　ＳＮＳゲーム株、業界の変遷と投資戦略.txt,ＳＮＳ,ゲーム,パズドラ,ガンホー,利益,
./alltext/キャラメルと飴玉.txt,飴,キャラメル,肉桂,上等,羹,
./alltext/キューバ選手の「鎖国解禁」　メジャーと他国球界に与える影響とその裏側.txt,キューバ,亡命,メジャー,選手,リーグ,
./alltext/キューピー.txt,キューピー,おもちゃ,ダルマ,ソレッ,ねむり,
