./alltext/1970.txt,タンゴ,ネコ,ひらく,ソラ,ニャーオ,ララララララ,ララ,気まぐれ,ともる,あー,
./alltext/1975.txt,モンスター,ほうら,どけ,魔球,Aegean,Wind,blowing,Wanted,きりきり舞い,シクラメン,
./alltext/1980.txt,ダンシング・オールナイト,PURE,チュンチュン,スイスイ,ニャンニャン,ジグザグ,スニーカー,Run,待つ,LIPS,
./alltext/1985.txt,CHA,Get,AH,dance,Like,Tango,カーニバル,up,darling,とんぼ,
./alltext/1990.txt,YAH,ピーヒャラ,Heart,パッパパラパ,Miss,Go,wow,Wow,タッタタラリラ,Boy,
./alltext/1995.txt,WowWar,tonight,Stay,(,LA,Wow,Make,with,long,Lalala,
./alltext/2000.txt,Da,Traveling,Lu,secret,keep,this,Hit,off,like,Woo,
./alltext/2005.txt,life,さくら,SI,take,セニョリータ,ヒュルリーラ,舞う,色あせる,キラリ,続けよ,
./alltext/2010.txt,Na,!,Hey,sweet,Moving,now,フライングゲット,ギンガム,人差し指,クロール,
./alltext/3つの「ち」を意識する.txt,選挙,院,かけ算,日本人,美容,グローバル,土俵,公務員,年収,人材,
./alltext/3分で解説：「7つの習慣」「GTD」「タスクシュート」に見る、代表的なタスク管理手法.txt,GTD,シュート,タスク,Done,フロー,TaskChute,シゴタノ,チューニング,フリー,組み合わせる,
./alltext/6年前に比べて何が増えて、何が減った？　20代独身の食事事情.txt,ごはん,和食,週,朝食,おかず,パン,同居,jbNHV,04,回数,
./alltext/Android版Google検索、探した商品がある店に近付くとGoogle Nowカードを表示.txt,Now,基い,近付く,カレンダーアプリ,Google,オフライン,履歴,ショップ,Android,ログイン,
./alltext/FIFAワールドカップ、日本代表はどこまで進む？.txt,ワールドカップ,敗退,優勝,ベスト,ザッケローニ,リーグ,％。<,力強い,74,zkp,
./alltext/Foursquare、公式アプリからチェックイン機能を分離、「Swarm」に.txt,チェックイン,Foursquare,メッセンジャー,Swarm,ベニュー,機能,Sheets,データベース,ベニューデータ,単,
./alltext/Google Glassを航空機の整備に活用　JALとNRIが実証実験.txt,Glass,JAL,NRI,航空機,搭降,実務,野村,空港,ウェアラブル,1400659555,
./alltext/GoogleとIntel、Bay Trail搭載など多数の新Chrome端末を発表　販売地域拡大も.txt,G,Acer,Bay,Lenovo,Trail,Intel,Celeron,ストレージ,Dell,東芝,
./alltext/Internet Explorer脆弱性の対策プログラムがダウンロード可能に――XPユーザーも対象.txt,ひとまず,2964358,KB,ADAiLaZwri,021,一連,MS,SP,RI,自動,
./alltext/Microsoft、iPhone版OneNoteにノート作成機能を、Mac版には印刷機能を追加.txt,ノート,OneNote,OneDrive,Lens,Office,Mac,スイート,プリント,クラウドストレージ,書式,
./alltext/NASAの最新宇宙服「Z-2」のデザインが一般投票で決定.txt,プロトタイプ,意匠,宇宙,青白く,パッド,サイバー,TRON,発光,エッセンス,締め切ら,
./alltext/Surface mini、5月20日に発表か　Microsoftが招待状.txt,Surface,集会,small,Amazon,Qualcomm,com,mini,gathering,1440,招待,
./alltext/TPP「実質的基本合意」していた　読売やTBS報道は誤りなのか.txt,合意,TPP,読売,離日,オバマ,大統領,実質,与党,鹿児島,TBS,
./alltext/Vine、デスクトップでも検索が可能に　日本語にも対応.txt,Vine,モバイルアプリ,コーナー,ン,左上,タグ,アイコ,ループ,フィード,チャンネル,
./alltext/“Yes.”にひと工夫で、会話を楽しく.txt,Yes,?”（,right,that,cOPA,あげれ,ADAuxSye,did,vlV,',
./alltext/「IoT」時代に企業が準備すべきことは何か.txt,IoT,コト,池田,熟知,計測,テクノロジー,先頃,物体,把握,問い,
./alltext/「R2-D2」が投影するレイア姫……ではなくバーチャルキーボード登場.txt,モチーフ,接続,スター・ウォーズ,ラナ,バーチャル,Bluetooth,R,imp,ラナタウン,配列,
./alltext/「VAIO株式会社」発足へ　ソニー、PC事業売却で正式契約.txt,VAIO,JIP,ソニー,240,めど,関取,員数,パートナーズ,Corporation,高行,
./alltext/「ふっくん」緊急会見で突如注目　「インベスターズTV」って何者だ？.txt,インベスターズ,布川,ヨーヨー,放送,タレント,マニアック,敏和,史江,若林,TV,
./alltext/「インターネット エクスプローラを使うな」ってどういうこと？　ワタシは今どうすべきか.txt,攻撃,脆弱,IE,CERT,US,ブラウザ,ゼロデイ,ソフトウェア,悪意,Explorer,
./alltext/「ニコニコ超会議3」に行ってきました.txt,ニコニコ,断っ,連載,窪田,セウォル,映し出さ,ブース,視聴,イベント,地理,
./alltext/「ボクだよ。」.txt,him,This,JKTD,.”、,っぽく,Speaking,YFPfzaGB,.”（,her,応対,
./alltext/「会議は中止です」.txt,cancel,meeting,中止,schedule,Let,s,MwMDguaHRtbA,ADAQKSFZ,YaxbXpuBzAQ,.”<,
./alltext/「寿司、食いねぇ」.txt,寿司,should,sushi,すすめる,すすめよ,Try,強引,try,ADAN,kmPynbOy,
./alltext/「死」の問題に対して.txt,死,重んずる,軽んずる,朽ちる,中央公論,怖,義務,幽明,お婆さん,1913,
./alltext/「残念だったね」.txt,bad,フレーズ,なぐさめる,Too,too,That,嫌味,丸出し,落第,HahRTKMS,
./alltext/「法人」もネットバンキング被害多発！　不正に預金引き出されても補償されない.txt,バンキング,手口,口座,巧妙,不正,被害,預金,銀行,相次ぎ,ウェブサイト,
./alltext/「海外出張」「英文メール」「電話会議」などのスキルが身につく新プログラム――Bizmates.txt,教材,Bizmates,レッスン,Programs,受講,Other,Lesson,Assist,yVhYS,体系,
./alltext/「秒速で1億円稼ぐ男」与沢翼、すってんてんに　「お金持ちのふり」するのに疲れたと告白.txt,与沢,納税,ショート,国税局,秒速,破たん,演じる,資金繰り,乗り回す,六本木,
./alltext/あなたをグローバル人材に変える、5つの「日本人プレミアム」とは？.txt,プレミアム,日本人,翻訳,善,グローバル,チームワーク,習得,BCG,ナンバー,土俵,
./alltext/がちゃがちゃ.txt,ガチャ,スイッチョ,リーン,ガチャガチャ,鈴虫,オケラ,轡虫,チンチロリン,合奏,虫,
./alltext/きのこ会議.txt,茸,毒茸,椎茸,子孫,ケラ,今に,役に立つ,毎年,種子,松茸,
./alltext/すべてを前向きに捉える.txt,後天的,ポジティブ,東大,矢印,失敗,糧,リブ・コンサルティング,コンサルティング,書き出し,任さ,
./alltext/なぜニュースアプリを使うと「飽きる」のか――原因は“釣りタイトル”（たぶん）.txt,ニュースアプリ,土肥,グノシー,タイトル,飽き,脅威,福島,高校生,ビッグダディ,オレ,
./alltext/みずほ新体制、カギ握る川村隆・元日立製作所会長  社外取締役は「お飾り」じゃない.txt,みずほ,佐藤,FG,大田,人事,縦,ガバナンス,委ねる,割り,社外,
