./novel/「死」の問題に対して.txt -> 重んずる,軽んずる,朽ちる,中央公論,義務,
./novel/がちゃがちゃ.txt -> ガチャ,スイッチョ,リーン,ガチャガチャ,鈴虫,
./novel/きのこ会議.txt -> 毒茸,椎茸,子孫,ケラ,今に,
./novel/オツベルと象.txt -> オツベル,グララアガア,わらっ,たべ,ぼく,
./novel/キャラメルと飴玉.txt -> キャラメル,お菓子,こわし,肉桂,上等,
./novel/キューピー.txt -> キューピー,おもちゃ,ダルマ,ソレッ,ねむり,
./novel/セメントの樽の中の手紙.txt -> セメント,ミキサー,恋人,クラッシャー,ボロ,
./novel/チャンス.txt -> チャンス,恋愛,性的,愛する,芸者,
./novel/トロッコ.txt -> 良平,トロッコ,土工,線路,工事,
./novel/変な音.txt -> 看護,病人,患者,退院,革砥,
./novel/外科室.txt -> 高峰,伯爵,夫人,腰元,看護,
./novel/失敗園.txt -> へちま,ねぎ,主人,チビ,新芽,
./novel/平民道.txt -> デモクラシー,平民,道徳,武士,階級,
./novel/悪妻論.txt -> といふ,悪妻,亭主,良妻,知性,
./novel/悪魔.txt -> 悪魔,姫君,堕落,ゐる,信長,
./novel/桜の樹の下には.txt -> 屍体,埋まっ,憂鬱,おまえ,心象,
./novel/武士道の山.txt -> 彼ら,しむ,去る,軍隊,野猪,
./novel/満願.txt -> 奥さま,医者,悪玉,奥さん,善玉,
./novel/現代とは？.txt -> 現代,スタンダール,現実,伝統,否定,
./novel/科学者とあたま.txt -> 科学,難関,前途,命題,貢献,
./novel/笑われた子.txt -> 仮面,父親,剃刀,屋根裏,教師,
./novel/縊死体.txt -> 記事,空家,夕刊,附近,冷笑,
./novel/羅生門.txt -> 下人,老婆,饑死,羅生門,死人,
./novel/英雄の器.txt -> 項羽,英雄,烏江,幕営,いくさ,
./novel/葉桜と魔笛.txt -> 手紙,口笛,ござい,城下,姉さん,
./novel/蜘蛛の糸.txt -> 陀多,71,87,極楽,血の池,
./novel/蝿.txt -> 馭者,猫背,宿場,車体,饅頭屋,
./novel/貨幣.txt -> 大尉,闇屋,紙幣,葡萄,おかみ,
./novel/運.txt -> 青侍,ござい,おき,手前,往来,
./novel/鬱屈禍.txt -> ジイド,芸術,詩句,大理石,鼓舞,
./novel/黄いろのトマト.txt -> ペムペル,ネリ,ガラス,トマト,おじいさん,
./novel/黄金風景.txt -> お巡り,のろくさい,とぎれ,るみ,ステッキ,
./novel/黒衣聖母.txt -> 祖母,耶観,茂作,田代,稲見,
./novel/鼻.txt -> 弟子,長かっ,短く,痛う,上唇,
